Date - MST,Hourly Profile1,Season1,Date (MST),AIL,Gas Price,Price,Spark Spread
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 6:00,9620,2.15,49.75,33.625
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 15:00,9625,2.15,37.38,21.255
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 10:00,9639,2.15,268.14,252.015
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 16:00,9645,2.15,39.53,23.405
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 7:00,9998,2.15,49.54,33.415
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 8:00,10279,2.15,54.01,37.885
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 9:00,10430,2.15,51.63,35.505
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 21:00,10431,2.15,52.14,36.015
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 20:00,10551,2.15,52.55,36.425
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 19:00,10664,2.15,81.56,65.435
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 10:00,10705,2.15,63.18,47.055
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 18:00,10827,2.15,437.79,421.665
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 11:00,10840,2.15,490.22,474.095
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 12:00,10940,2.15,551.5,535.375
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 17:00,11036,2.15,625.47,609.345
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 13:00,11037,2.15,689.7,673.575
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 14:00,11169,2.15,718.36,702.235
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 16:00,11198,2.15,751.01,734.885
1/1/2020 0:00,ON PEAK,SUMMER,7/20/2023 15:00,11237,2.15,803.43,787.305
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 6:00,8406,2.17,16.22,-0.055
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 7:00,8726,2.17,19.04,2.765
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 21:00,8907,2.17,27.1,10.825
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 21:00,8907,2.17,354.86,338.585
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 6:00,8937,2.17,88.76,72.485
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 20:00,9032,2.17,24.52,8.245
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 8:00,9072,2.17,24.03,7.755
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 21:00,9073,2.17,103.97,87.695
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 19:00,9080,2.17,25.27,8.995
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 20:00,9104,2.17,335.46,319.185
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 19:00,9108,2.17,365.13,348.855
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 6:00,9180,2.17,16.82,0.545
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 20:00,9240,2.17,127.58,111.305
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 7:00,9275,2.17,283.43,267.155
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 18:00,9286,2.17,25.47,9.195
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 8:00,9286,2.17,341.41,325.135
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 9:00,9318,2.17,29.66,13.385
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 18:00,9325,2.17,478.58,462.305
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 19:00,9332,2.17,278.29,262.015
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 7:00,9370,2.17,16.01,-0.265
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 9:00,9381,2.17,144.36,128.085
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 18:00,9456,2.17,119,102.725
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 11:00,9468,2.17,584.24,567.965
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 10:00,9470,2.17,463.72,447.445
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 10:00,9481,2.17,33.52,17.245
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 12:00,9530,2.17,240.68,224.405
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 8:00,9545,2.17,16.57,0.295
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 17:00,9566,2.17,25.77,9.495
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 11:00,9595,2.17,35.62,19.345
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 13:00,9625,2.17,95,78.725
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 17:00,9627,2.17,62.21,45.935
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 17:00,9670,2.17,58,41.725
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 15:00,9701,2.17,120.27,103.995
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 11:00,9703,2.17,19.05,2.775
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 12:00,9705,2.17,40.55,24.275
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 12:00,9716,2.17,21.43,5.155
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 9:00,9720,2.17,17.69,1.415
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 13:00,9721,2.17,35.36,19.085
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 13:00,9722,2.17,27.18,10.905
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 14:00,9754,2.17,39.63,23.355
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 14:00,9769,2.17,82.81,66.535
1/1/2020 0:00,ON PEAK,SUMMER,5/11/2023 16:00,9777,2.17,59.46,43.185
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 15:00,9780,2.17,28.9,12.625
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 10:00,9790,2.17,17.37,1.095
1/1/2020 0:00,ON PEAK,SUMMER,8/3/2020 16:00,9792,2.17,29.19,12.915
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 14:00,9798,2.17,35.98,19.705
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 16:00,9896,2.17,69.84,53.565
1/1/2020 0:00,ON PEAK,SUMMER,5/23/2023 15:00,9923,2.17,50.04,33.765
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 6:00,8265,2.18,26,9.65
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 21:00,8355,2.18,25.67,9.32
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 19:00,8515,2.18,27.12,10.77
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 20:00,8516,2.18,28.29,11.94
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 7:00,8522,2.18,31.25,14.9
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 6:00,8569,2.18,20.95,4.6
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 18:00,8612,2.18,27.53,11.18
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 8:00,8646,2.18,31.87,15.52
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 17:00,8723,2.18,29.09,12.74
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 9:00,8729,2.18,29.23,12.88
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 10:00,8831,2.18,29.13,12.78
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 13:00,8858,2.18,29.21,12.86
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 7:00,8866,2.18,27.03,10.68
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 14:00,8869,2.18,29.18,12.83
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 11:00,8875,2.18,29.23,12.88
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 12:00,8881,2.18,29.25,12.9
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 16:00,8898,2.18,29.26,12.91
1/1/2020 0:00,ON PEAK,SUMMER,5/6/2020 15:00,8899,2.18,30.81,14.46
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 21:00,8948,2.18,776.71,760.36
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 6:00,9070,2.18,194.89,178.54
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 8:00,9181,2.18,34.1,17.75
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 7:00,9294,2.18,102.58,86.23
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 20:00,9307,2.18,953.88,937.53
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 19:00,9403,2.18,999.95,983.6
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 21:00,9411,2.18,30.68,14.33
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 8:00,9435,2.18,124.89,108.54
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 9:00,9470,2.18,45.91,29.56
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 18:00,9534,2.18,993.05,976.7
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 10:00,9571,2.18,494.66,478.31
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 20:00,9572,2.18,41,24.65
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 9:00,9601,2.18,269.83,253.48
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 11:00,9601,2.18,627.54,611.19
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 12:00,9673,2.18,656.31,639.96
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 19:00,9675,2.18,42.41,26.06
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 17:00,9686,2.18,851.37,835.02
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 13:00,9698,2.18,627.54,611.19
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 10:00,9705,2.18,53.04,36.69
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 14:00,9733,2.18,610.99,594.64
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 18:00,9814,2.18,35.16,18.81
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 15:00,9832,2.18,716.6,700.25
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 14:00,9844,2.18,518.05,501.7
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2023 16:00,9847,2.18,817.74,801.39
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 11:00,9857,2.18,213.84,197.49
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 13:00,9860,2.18,393.5,377.15
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 12:00,9882,2.18,256.67,240.32
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 15:00,9918,2.18,588.34,571.99
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 17:00,9939,2.18,47.16,30.81
1/1/2020 0:00,ON PEAK,SUMMER,6/11/2023 16:00,10006,2.18,517.26,500.91
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 6:00,8672,2.185,28.9,12.5125
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 7:00,9020,2.185,32.7,16.3125
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 21:00,9284,2.185,31.61,15.2225
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 8:00,9291,2.185,36.51,20.1225
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 20:00,9474,2.185,32.56,16.1725
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 9:00,9529,2.185,37.95,21.5625
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 19:00,9665,2.185,36.8,20.4125
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 10:00,9700,2.185,39.16,22.7725
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 11:00,9799,2.185,39.34,22.9525
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 12:00,9880,2.185,39.33,22.9425
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 18:00,9892,2.185,39.21,22.8225
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 13:00,9946,2.185,39.71,23.3225
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 14:00,9966,2.185,40,23.6125
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 17:00,10021,2.185,40.22,23.8325
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 15:00,10056,2.185,40,23.6125
1/1/2020 0:00,ON PEAK,SUMMER,8/4/2020 16:00,10130,2.185,39.66,23.2725
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 6:00,8615,2.19,47.23,30.805
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 7:00,8845,2.19,46.49,30.065
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 21:00,9039,2.19,44.65,28.225
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 8:00,9090,2.19,42.33,25.905
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 6:00,9210,2.19,35.78,19.355
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 21:00,9283,2.19,29.28,12.855
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 20:00,9284,2.19,45.99,29.565
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 9:00,9301,2.19,36.86,20.435
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 7:00,9352,2.19,32.4,15.975
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 10:00,9394,2.19,22.5,6.075
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 14:00,9424,2.19,25.37,8.945
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 12:00,9431,2.19,30.36,13.935
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 18:00,9432,2.19,47.23,30.805
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 11:00,9434,2.19,36.39,19.965
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 19:00,9436,2.19,46.63,30.205
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 13:00,9446,2.19,27.33,10.905
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 20:00,9455,2.19,40.51,24.085
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2025 21:00,9458,2.19,30.13,13.705
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 12:00,9459,2.19,44.58,28.155
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 13:00,9486,2.19,33.06,16.635
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 17:00,9494,2.19,46.52,30.095
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2025 6:00,9497,2.19,21.32,4.895
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 8:00,9497,2.19,28.49,12.065
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 15:00,9498,2.19,26.08,9.655
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 14:00,9538,2.19,21.72,5.295
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 11:00,9541,2.19,35.05,18.625
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 16:00,9563,2.19,37.19,20.765
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 17:00,9588,2.19,44.61,28.185
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 19:00,9602,2.19,43.63,27.205
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 10:00,9613,2.19,53.68,37.255
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2025 20:00,9616,2.19,102.6,86.175
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 15:00,9630,2.19,20.31,3.885
1/1/2020 0:00,ON PEAK,SUMMER,10/14/2023 9:00,9632,2.19,132.41,115.985
1/1/2020 0:00,ON PEAK,SUMMER,5/2/2025 7:00,9643,2.19,21.31,4.885
1/1/2020 0:00,ON PEAK,SUMMER,9/23/2023 16:00,9664,2.19,27.53,11.105
